year_film,year_ceremony,ceremony,category,name,film,In movies dataset?,winner
1945,1946,18,CINEMATOGRAPHY (Black-and-White),John F. Seitz,The Lost Weekend,The Lost Weekend,FALSE
1945,1946,18,DIRECTING,Billy Wilder,The Lost Weekend,The Lost Weekend,TRUE
1945,1946,18,FILM EDITING,Doane Harrison,The Lost Weekend,The Lost Weekend,FALSE
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,The Lost Weekend,The Lost Weekend,FALSE
1945,1946,18,BEST MOTION PICTURE,Paramount,The Lost Weekend,The Lost Weekend,TRUE
1945,1946,18,WRITING (Screenplay),"Charles Brackett, Billy Wilder",The Lost Weekend,The Lost Weekend,TRUE
1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,ACTOR,James Stewart,It's a Wonderful Life,It's a Wonderful Life,FALSE
1946,1947,19,ACTOR IN A SUPPORTING ROLE,Claude Rains,Notorious,Notorious,FALSE
1946,1947,19,ACTOR IN A SUPPORTING ROLE,Harold Russell,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,ACTRESS,Celia Johnson,Brief Encounter,Brief Encounter,FALSE
1946,1947,19,DIRECTING,William Wyler,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,DIRECTING,David Lean,Brief Encounter,Brief Encounter,FALSE
1946,1947,19,DIRECTING,Frank Capra,It's a Wonderful Life,It's a Wonderful Life,FALSE
1946,1947,19,FILM EDITING,Daniel Mandell,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,FILM EDITING,William Hornbeck,It's a Wonderful Life,It's a Wonderful Life,FALSE
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,BEST MOTION PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,BEST MOTION PICTURE,Liberty Films,It's a Wonderful Life,It's a Wonderful Life,FALSE
1946,1947,19,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",The Best Years of Our Lives,The Best Years of Our Lives,FALSE
1946,1947,19,SOUND RECORDING,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",It's a Wonderful Life,It's a Wonderful Life,FALSE
1946,1947,19,WRITING (Original Screenplay),Ben Hecht,Notorious,Notorious,FALSE
1946,1947,19,WRITING (Screenplay),Robert E. Sherwood,The Best Years of Our Lives,The Best Years of Our Lives,TRUE
1946,1947,19,WRITING (Screenplay),"David Lean, Anthony Havelock-Allan, Ronald Neame",Brief Encounter,Brief Encounter,FALSE
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Miracle on 34th Street,Miracle on 34th Street,TRUE
1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Miracle on 34th Street,Miracle on 34th Street,FALSE
1947,1948,20,WRITING (Motion Picture Story),Valentine Davies,Miracle on 34th Street,Miracle on 34th Street,TRUE
1947,1948,20,WRITING (Screenplay),George Seaton,Miracle on 34th Street,Miracle on 34th Street,TRUE
1948,1949,21,ACTOR,Laurence Olivier,Hamlet,Hamlet,TRUE
1948,1949,21,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,TRUE
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Jean Simmons,Hamlet,Hamlet,FALSE
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Key Largo,Key Largo,TRUE
1948,1949,21,ART DIRECTION (Black-and-White),Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon,Hamlet,Hamlet,TRUE
1948,1949,21,ART DIRECTION (Color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,The Red Shoes,TRUE
1948,1949,21,COSTUME DESIGN (Black-and-White),Roger K. Furse,Hamlet,Hamlet,TRUE
1948,1949,21,DIRECTING,Laurence Olivier,Hamlet,Hamlet,FALSE
1948,1949,21,DIRECTING,John Huston,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,TRUE
1948,1949,21,FILM EDITING,Christian Nyby,Red River,Red River,FALSE
1948,1949,21,FILM EDITING,Reginald Mills,The Red Shoes,The Red Shoes,FALSE
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),William Walton,Hamlet,Hamlet,FALSE
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Brian Easdale,The Red Shoes,The Red Shoes,TRUE
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,Hamlet,TRUE
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Archers,The Red Shoes,The Red Shoes,FALSE
1948,1949,21,BEST MOTION PICTURE,Warner Bros.,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,FALSE
1948,1949,21,WRITING (Motion Picture Story),Borden Chase,Red River,Red River,FALSE
1948,1949,21,WRITING (Motion Picture Story),Emeric Pressburger,The Red Shoes,The Red Shoes,FALSE
1948,1949,21,WRITING (Screenplay),John Huston,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,TRUE
1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,Little Women,TRUE
1949,1950,22,CINEMATOGRAPHY (Color),"Robert Planck, Charles Schoenbaum",Little Women,Little Women,FALSE
1949,1950,22,WRITING (Motion Picture Story),Virginia Kellogg,White Heat,White Heat,FALSE
1950,1951,23,ACTOR,William Holden,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,ACTOR,James Stewart,Harvey,Harvey,FALSE
1950,1951,23,ACTOR IN A SUPPORTING ROLE,George Sanders,All about Eve,All About Eve,TRUE
1950,1951,23,ACTOR IN A SUPPORTING ROLE,Erich von Stroheim,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,ACTRESS,Anne Baxter,All about Eve,All About Eve,FALSE
1950,1951,23,ACTRESS,Bette Davis,All about Eve,All About Eve,FALSE
1950,1951,23,ACTRESS,Gloria Swanson,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,All about Eve,All About Eve,FALSE
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,Harvey,TRUE
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Nancy Olson,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All about Eve,All About Eve,FALSE
1950,1951,23,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Thomas Little, Walter M. Scott",All about Eve,All About Eve,FALSE
1950,1951,23,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer",Sunset Blvd.,Sunset Blvd.,TRUE
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Milton Krasner,All about Eve,All About Eve,FALSE
1950,1951,23,CINEMATOGRAPHY (Black-and-White),John F. Seitz,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Robert Krasker,The Third Man,The Third Man,TRUE
1950,1951,23,COSTUME DESIGN (Black-and-White),"Edith Head, Charles LeMaire",All about Eve,All About Eve,TRUE
1950,1951,23,DIRECTING,Joseph L. Mankiewicz,All about Eve,All About Eve,TRUE
1950,1951,23,DIRECTING,Billy Wilder,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,DIRECTING,Carol Reed,The Third Man,The Third Man,FALSE
1950,1951,23,FILM EDITING,Barbara McLean,All about Eve,All About Eve,FALSE
1950,1951,23,FILM EDITING,"Arthur Schmidt, Doane Harrison",Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,FILM EDITING,Oswald Hafenrichter,The Third Man,The Third Man,FALSE
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,All about Eve,All About Eve,FALSE
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,Sunset Blvd.,Sunset Blvd.,TRUE
1950,1951,23,BEST MOTION PICTURE,20th Century-Fox,All about Eve,All About Eve,TRUE
1950,1951,23,BEST MOTION PICTURE,Paramount,Sunset Blvd.,Sunset Blvd.,FALSE
1950,1951,23,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve,All About Eve,TRUE
1950,1951,23,WRITING (Screenplay),Joseph L. Mankiewicz,All about Eve,All About Eve,TRUE
1950,1951,23,WRITING (Story and Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,Sunset Blvd.,TRUE
1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,The African Queen,TRUE
1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,ACTOR IN A SUPPORTING ROLE,Karl Malden,A Streetcar Named Desire,A Streetcar Named Desire,TRUE
1951,1952,24,ACTRESS,Katharine Hepburn,The African Queen,The African Queen,FALSE
1951,1952,24,ACTRESS,Vivien Leigh,A Streetcar Named Desire,A Streetcar Named Desire,TRUE
1951,1952,24,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,A Streetcar Named Desire,A Streetcar Named Desire,TRUE
1951,1952,24,ART DIRECTION (Black-and-White),Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,A Streetcar Named Desire,A Streetcar Named Desire,TRUE
1951,1952,24,CINEMATOGRAPHY (Black-and-White),Robert Burks,Strangers on a Train,Strangers on a Train,FALSE
1951,1952,24,CINEMATOGRAPHY (Black-and-White),Harry Stradling,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,COSTUME DESIGN (Black-and-White),Lucinda Ballard,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,DIRECTING,John Huston,The African Queen,The African Queen,FALSE
1951,1952,24,DIRECTING,Elia Kazan,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,MUSIC (Music Score of a Dramatic or Comedy Picture),Alex North,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,BEST MOTION PICTURE,"Charles K. Feldman, Producer",A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,SOUND RECORDING,"Warner Bros. Studio Sound Department, Col. Nathan Levinson, Sound Director",A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1951,1952,24,WRITING (Screenplay),"James Agee, John Huston",The African Queen,The African Queen,FALSE
1951,1952,24,WRITING (Screenplay),Tennessee Williams,A Streetcar Named Desire,A Streetcar Named Desire,FALSE
1952,1953,25,ACTOR,Gary Cooper,High Noon,High Noon,TRUE
1952,1953,25,ACTOR IN A SUPPORTING ROLE,Victor McLaglen,The Quiet Man,The Quiet Man,FALSE
1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Jean Hagen,Singin' in the Rain,Singin' in the Rain,FALSE
1952,1953,25,ART DIRECTION (Color),"Art Direction:  Frank Hotaling;  Set Decoration:  John McCarthy, Jr., Charles Thompson",The Quiet Man,The Quiet Man,FALSE
1952,1953,25,CINEMATOGRAPHY (Color),"Winton C. Hoch, Archie Stout",The Quiet Man,The Quiet Man,TRUE
1952,1953,25,DIRECTING,Fred Zinnemann,High Noon,High Noon,FALSE
1952,1953,25,DIRECTING,John Ford,The Quiet Man,The Quiet Man,TRUE
1952,1953,25,FILM EDITING,"Elmo Williams, Harry Gerstad",High Noon,High Noon,TRUE
1952,1953,25,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,High Noon,High Noon,TRUE
1952,1953,25,MUSIC (Scoring of a Musical Picture),Lennie Hayton,Singin' in the Rain,Singin' in the Rain,FALSE
1952,1953,25,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon,High Noon,TRUE
